x,y
3.1622290749793667,2.728328836993093
2.9531314884822932,3.998728175470835
4.40887541362933,2.528402464557764
2.660712347910605,1.149670782452364
2.064129008396475,3.1884537636103865
2.802423036550156,3.1908821332488086
2.609412328159615,1.532943632819186
3.9628631586665604,2.9307102765095134
2.6549629526316987,3.254804467532275
4.667483215831022,4.007229678467343
6.221121675649843,6.6999387112508435
6.9929164861757,7.002983397735366
5.994685949981799,6.653993713806522
7.750288871032745,6.9274782946154465
7.07098960348896,6.9154178733310365
6.983556633136369,7.012679295975945
7.7110970595690365,7.648991321347585
7.21227197545847,5.9246619826231415
6.390460515361281,6.401943974047792
5.331200500613593,6.19679514171837
10.76597038575866,10.136272644818726
11.933229595544276,9.932493722601741
11.083760287626982,11.867326325575773
10.80984584140751,11.108352053847351
9.61835264542525,10.186212100646737
11.009442737452575,11.00577845853902
11.876203743106439,9.287855974866005
12.908491193571118,11.060701004865372
11.406707113572011,9.664087554085569
11.000706970859397,10.99358476516117
